date,title,url
2025-11-04,Colunas de Formação Estelar,https://apod.nasa.gov/apod/image/2511/eagle_nebula_panorama.jpg
2025-11-03,Brilho de Impacto em Júpiter,https://apod.nasa.gov/apod/image/2511/jupiter_impact_spot.jpg
2025-11-02,Dança da Aurora,https://apod.nasa.gov/apod/video/2511/aurora_timelapse.mp4
2025-11-01,Tycho em Detalhe,https://apod.nasa.gov/apod/image/2511/tycho_crater_detail.jpg
2025-10-31,Via Láctea sobre Ruínas,https://apod.nasa.gov/apod/image/2510/milkyway_ruins.jpg
2025-10-30,Cometa em Aproximação,https://apod.nasa.gov/apod/image/2510/comet_closeup.jpg
2025-10-29,Pôr do Sol em Marte,https://apod.nasa.gov/apod/image/2510/mars_sunset_mosaic.jpg
2025-10-28,Ondas de Choque Estelares (simulação),https://apod.nasa.gov/apod/video/2510/shockwaves_simulation.mp4
2025-10-27,Disco Protoplanetário com Anéis,https://apod.nasa.gov/apod/image/2510/protoplanetary_disk_rings.jpg
2025-10-26,Enxame Globular em Detalhe,https://apod.nasa.gov/apod/image/2510/globular_cluster_detail.jpg
